======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-28 11:18:29
Log file: logs/simulation_20260228_111829.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 1.00e-04, dt (rescaled) = 1.0000e-01
  CFL limit: dt_CFL = 0.5774 (rescaled)
  dt/dt_CFL = 1.7321e-01 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7400.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 1000 GeV  →  3H/η = 7.22e-08
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11
Couplings: boson=1.09, fermion=1.09

Finding thermal VEV at T = 7400.0...
  V'(0) = 1.6066e-06
  V'(VEV) = 7.2925e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 1.6066e-06
  V'(1e0)   = 1.6066e+04
  V'(1e5)   = -9.9981e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 2.1249e+03 and 2.2355e+03
  Barrier top at: 2.1539e+03
  Escape point: 2.3693e+03
  V'(escape) = -8.3211e+06 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_7400_dx_0.001_dtphys_0.0001_interval_10000_3D_hubble_eta_1000_gb_1.09_gf_1.09_rk2_fused_table/field_states
Figures will be saved to: data/set6/256x256x256_T0_7400_dx_0.001_dtphys_0.0001_interval_10000_3D_hubble_eta_1000_gb_1.09_gf_1.09_rk2_fused_table/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 50000, dt: 1.00e-01
Integrator: rk2_fused_table
Using Vprime lookup table: True (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 1.2166e+03)
Overdamped mode: DISABLED (η = 1000)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 7.22e-08
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Dense snapshots: enabled (threshold=50000.0, interval=50)
Step 0/50000 | t=0.00e+00 | T=7400.0 | a=1.000000 | H=2.41e-05 | 4.4 steps/s | 229.29 ms/step | ETA: 191.1 min
Step 12450/50000 | t=1.25e+00 | T=7399.8 | a=1.000030 | H=2.41e-05 | 12.3 steps/s | 81.53 ms/step | ETA: 51.0 min
Step 12500/50000 | t=1.25e+00 | T=7399.8 | a=1.000030 | H=2.41e-05 | 12.3 steps/s | 81.62 ms/step | ETA: 51.0 min
Step 12550/50000 | t=1.25e+00 | T=7399.8 | a=1.000030 | H=2.41e-05 | 12.2 steps/s | 81.71 ms/step | ETA: 51.0 min
Step 12600/50000 | t=1.26e+00 | T=7399.8 | a=1.000030 | H=2.41e-05 | 12.2 steps/s | 81.97 ms/step | ETA: 51.1 min
Step 12650/50000 | t=1.26e+00 | T=7399.8 | a=1.000030 | H=2.41e-05 | 12.2 steps/s | 82.09 ms/step | ETA: 51.1 min
Step 12700/50000 | t=1.27e+00 | T=7399.8 | a=1.000031 | H=2.41e-05 | 12.2 steps/s | 82.19 ms/step | ETA: 51.1 min
Step 12750/50000 | t=1.27e+00 | T=7399.8 | a=1.000031 | H=2.41e-05 | 12.2 steps/s | 82.29 ms/step | ETA: 51.1 min
Step 12800/50000 | t=1.28e+00 | T=7399.8 | a=1.000031 | H=2.41e-05 | 12.1 steps/s | 82.38 ms/step | ETA: 51.1 min
Step 12850/50000 | t=1.28e+00 | T=7399.8 | a=1.000031 | H=2.41e-05 | 12.1 steps/s | 82.47 ms/step | ETA: 51.1 min
Step 12900/50000 | t=1.29e+00 | T=7399.8 | a=1.000031 | H=2.41e-05 | 12.1 steps/s | 82.55 ms/step | ETA: 51.0 min
Step 12950/50000 | t=1.29e+00 | T=7399.8 | a=1.000031 | H=2.41e-05 | 12.1 steps/s | 82.64 ms/step | ETA: 51.0 min
Step 13000/50000 | t=1.30e+00 | T=7399.8 | a=1.000031 | H=2.41e-05 | 12.1 steps/s | 82.73 ms/step | ETA: 51.0 min
Step 13050/50000 | t=1.30e+00 | T=7399.8 | a=1.000031 | H=2.41e-05 | 12.1 steps/s | 82.81 ms/step | ETA: 51.0 min
Step 13100/50000 | t=1.31e+00 | T=7399.8 | a=1.000032 | H=2.41e-05 | 12.0 steps/s | 83.06 ms/step | ETA: 51.1 min
Step 13150/50000 | t=1.31e+00 | T=7399.8 | a=1.000032 | H=2.41e-05 | 12.0 steps/s | 83.14 ms/step | ETA: 51.1 min
Step 13200/50000 | t=1.32e+00 | T=7399.8 | a=1.000032 | H=2.41e-05 | 12.0 steps/s | 83.23 ms/step | ETA: 51.0 min
Step 13250/50000 | t=1.32e+00 | T=7399.8 | a=1.000032 | H=2.41e-05 | 12.0 steps/s | 83.34 ms/step | ETA: 51.0 min
Step 13300/50000 | t=1.33e+00 | T=7399.8 | a=1.000032 | H=2.41e-05 | 12.0 steps/s | 83.43 ms/step | ETA: 51.0 min
Step 13350/50000 | t=1.33e+00 | T=7399.8 | a=1.000032 | H=2.41e-05 | 12.0 steps/s | 83.51 ms/step | ETA: 51.0 min
Step 13400/50000 | t=1.34e+00 | T=7399.8 | a=1.000032 | H=2.41e-05 | 12.0 steps/s | 83.59 ms/step | ETA: 51.0 min
Step 13450/50000 | t=1.34e+00 | T=7399.8 | a=1.000032 | H=2.41e-05 | 12.0 steps/s | 83.66 ms/step | ETA: 51.0 min
Step 13500/50000 | t=1.35e+00 | T=7399.8 | a=1.000032 | H=2.41e-05 | 11.9 steps/s | 83.75 ms/step | ETA: 50.9 min
Step 13550/50000 | t=1.35e+00 | T=7399.8 | a=1.000033 | H=2.41e-05 | 11.9 steps/s | 83.83 ms/step | ETA: 50.9 min
Step 13600/50000 | t=1.36e+00 | T=7399.8 | a=1.000033 | H=2.41e-05 | 11.9 steps/s | 84.06 ms/step | ETA: 51.0 min
Step 13650/50000 | t=1.36e+00 | T=7399.8 | a=1.000033 | H=2.41e-05 | 11.9 steps/s | 84.15 ms/step | ETA: 51.0 min
Step 13700/50000 | t=1.37e+00 | T=7399.8 | a=1.000033 | H=2.41e-05 | 11.9 steps/s | 84.23 ms/step | ETA: 51.0 min
Step 13750/50000 | t=1.38e+00 | T=7399.8 | a=1.000033 | H=2.41e-05 | 11.9 steps/s | 84.30 ms/step | ETA: 50.9 min
Step 13800/50000 | t=1.38e+00 | T=7399.8 | a=1.000033 | H=2.41e-05 | 11.9 steps/s | 84.38 ms/step | ETA: 50.9 min
Step 13850/50000 | t=1.39e+00 | T=7399.8 | a=1.000033 | H=2.41e-05 | 11.8 steps/s | 84.45 ms/step | ETA: 50.9 min
Step 13900/50000 | t=1.39e+00 | T=7399.8 | a=1.000033 | H=2.41e-05 | 11.8 steps/s | 84.53 ms/step | ETA: 50.9 min
Step 13950/50000 | t=1.40e+00 | T=7399.8 | a=1.000034 | H=2.41e-05 | 11.8 steps/s | 84.60 ms/step | ETA: 50.8 min
Step 14000/50000 | t=1.40e+00 | T=7399.8 | a=1.000034 | H=2.41e-05 | 11.8 steps/s | 84.67 ms/step | ETA: 50.8 min
Step 14050/50000 | t=1.41e+00 | T=7399.7 | a=1.000034 | H=2.41e-05 | 11.8 steps/s | 84.75 ms/step | ETA: 50.8 min
Step 14100/50000 | t=1.41e+00 | T=7399.7 | a=1.000034 | H=2.41e-05 | 11.8 steps/s | 84.99 ms/step | ETA: 50.8 min
Step 14150/50000 | t=1.42e+00 | T=7399.7 | a=1.000034 | H=2.41e-05 | 11.8 steps/s | 85.07 ms/step | ETA: 50.8 min
Step 14200/50000 | t=1.42e+00 | T=7399.7 | a=1.000034 | H=2.41e-05 | 11.7 steps/s | 85.14 ms/step | ETA: 50.8 min
Step 14250/50000 | t=1.43e+00 | T=7399.7 | a=1.000034 | H=2.41e-05 | 11.7 steps/s | 85.22 ms/step | ETA: 50.8 min
Step 14300/50000 | t=1.43e+00 | T=7399.7 | a=1.000034 | H=2.41e-05 | 11.7 steps/s | 85.29 ms/step | ETA: 50.7 min
Step 14350/50000 | t=1.44e+00 | T=7399.7 | a=1.000035 | H=2.41e-05 | 11.7 steps/s | 85.36 ms/step | ETA: 50.7 min
Step 14400/50000 | t=1.44e+00 | T=7399.7 | a=1.000035 | H=2.41e-05 | 11.7 steps/s | 85.43 ms/step | ETA: 50.7 min
Step 14450/50000 | t=1.45e+00 | T=7399.7 | a=1.000035 | H=2.41e-05 | 11.7 steps/s | 85.50 ms/step | ETA: 50.7 min
Step 14500/50000 | t=1.45e+00 | T=7399.7 | a=1.000035 | H=2.41e-05 | 11.7 steps/s | 85.57 ms/step | ETA: 50.6 min
Step 14550/50000 | t=1.46e+00 | T=7399.7 | a=1.000035 | H=2.41e-05 | 11.7 steps/s | 85.64 ms/step | ETA: 50.6 min
Step 14600/50000 | t=1.46e+00 | T=7399.7 | a=1.000035 | H=2.41e-05 | 11.6 steps/s | 85.85 ms/step | ETA: 50.7 min
Step 14650/50000 | t=1.47e+00 | T=7399.7 | a=1.000035 | H=2.41e-05 | 11.6 steps/s | 85.91 ms/step | ETA: 50.6 min
Step 14700/50000 | t=1.47e+00 | T=7399.7 | a=1.000035 | H=2.41e-05 | 11.6 steps/s | 85.99 ms/step | ETA: 50.6 min
Step 14750/50000 | t=1.48e+00 | T=7399.7 | a=1.000035 | H=2.41e-05 | 11.6 steps/s | 86.06 ms/step | ETA: 50.6 min
Step 14800/50000 | t=1.48e+00 | T=7399.7 | a=1.000036 | H=2.41e-05 | 11.6 steps/s | 86.12 ms/step | ETA: 50.5 min
Step 14850/50000 | t=1.49e+00 | T=7399.7 | a=1.000036 | H=2.41e-05 | 11.6 steps/s | 86.19 ms/step | ETA: 50.5 min
Step 14900/50000 | t=1.49e+00 | T=7399.7 | a=1.000036 | H=2.41e-05 | 11.6 steps/s | 86.25 ms/step | ETA: 50.5 min
Step 14950/50000 | t=1.50e+00 | T=7399.7 | a=1.000036 | H=2.41e-05 | 11.6 steps/s | 86.31 ms/step | ETA: 50.4 min
Step 15000/50000 | t=1.50e+00 | T=7399.7 | a=1.000036 | H=2.41e-05 | 11.6 steps/s | 86.38 ms/step | ETA: 50.4 min
Step 15050/50000 | t=1.50e+00 | T=7399.7 | a=1.000036 | H=2.41e-05 | 11.6 steps/s | 86.44 ms/step | ETA: 50.3 min
Step 15100/50000 | t=1.51e+00 | T=7399.7 | a=1.000036 | H=2.41e-05 | 11.5 steps/s | 86.64 ms/step | ETA: 50.4 min
Step 15150/50000 | t=1.51e+00 | T=7399.7 | a=1.000036 | H=2.41e-05 | 11.5 steps/s | 86.70 ms/step | ETA: 50.4 min
Step 15200/50000 | t=1.52e+00 | T=7399.7 | a=1.000037 | H=2.41e-05 | 11.5 steps/s | 86.76 ms/step | ETA: 50.3 min
Step 15250/50000 | t=1.52e+00 | T=7399.7 | a=1.000037 | H=2.41e-05 | 11.5 steps/s | 86.83 ms/step | ETA: 50.3 min
Step 15300/50000 | t=1.53e+00 | T=7399.7 | a=1.000037 | H=2.41e-05 | 11.5 steps/s | 86.88 ms/step | ETA: 50.2 min
Step 15350/50000 | t=1.53e+00 | T=7399.7 | a=1.000037 | H=2.41e-05 | 11.5 steps/s | 86.95 ms/step | ETA: 50.2 min
Step 15400/50000 | t=1.54e+00 | T=7399.7 | a=1.000037 | H=2.41e-05 | 11.5 steps/s | 87.01 ms/step | ETA: 50.2 min
Step 15450/50000 | t=1.54e+00 | T=7399.7 | a=1.000037 | H=2.41e-05 | 11.5 steps/s | 87.09 ms/step | ETA: 50.1 min
Step 15500/50000 | t=1.55e+00 | T=7399.7 | a=1.000037 | H=2.41e-05 | 11.5 steps/s | 87.17 ms/step | ETA: 50.1 min
Step 15550/50000 | t=1.55e+00 | T=7399.7 | a=1.000037 | H=2.41e-05 | 11.5 steps/s | 87.24 ms/step | ETA: 50.1 min
Step 15600/50000 | t=1.56e+00 | T=7399.7 | a=1.000038 | H=2.41e-05 | 11.4 steps/s | 87.43 ms/step | ETA: 50.1 min
Step 15650/50000 | t=1.56e+00 | T=7399.7 | a=1.000038 | H=2.41e-05 | 11.4 steps/s | 87.49 ms/step | ETA: 50.1 min
Step 15700/50000 | t=1.57e+00 | T=7399.7 | a=1.000038 | H=2.41e-05 | 11.4 steps/s | 87.56 ms/step | ETA: 50.1 min
Step 15750/50000 | t=1.57e+00 | T=7399.7 | a=1.000038 | H=2.41e-05 | 11.4 steps/s | 87.61 ms/step | ETA: 50.0 min
Step 15800/50000 | t=1.58e+00 | T=7399.7 | a=1.000038 | H=2.41e-05 | 11.4 steps/s | 87.67 ms/step | ETA: 50.0 min
Step 15850/50000 | t=1.58e+00 | T=7399.7 | a=1.000038 | H=2.41e-05 | 11.4 steps/s | 87.72 ms/step | ETA: 49.9 min
Step 15900/50000 | t=1.59e+00 | T=7399.7 | a=1.000038 | H=2.41e-05 | 11.4 steps/s | 87.78 ms/step | ETA: 49.9 min
Step 15950/50000 | t=1.59e+00 | T=7399.7 | a=1.000038 | H=2.41e-05 | 11.4 steps/s | 87.83 ms/step | ETA: 49.8 min
Step 16000/50000 | t=1.60e+00 | T=7399.7 | a=1.000038 | H=2.41e-05 | 11.4 steps/s | 87.88 ms/step | ETA: 49.8 min
Step 16050/50000 | t=1.60e+00 | T=7399.7 | a=1.000039 | H=2.41e-05 | 11.4 steps/s | 87.93 ms/step | ETA: 49.8 min
Step 16100/50000 | t=1.61e+00 | T=7399.7 | a=1.000039 | H=2.41e-05 | 11.3 steps/s | 88.12 ms/step | ETA: 49.8 min
Step 16150/50000 | t=1.61e+00 | T=7399.7 | a=1.000039 | H=2.41e-05 | 11.3 steps/s | 88.16 ms/step | ETA: 49.7 min
Step 16200/50000 | t=1.62e+00 | T=7399.7 | a=1.000039 | H=2.41e-05 | 11.3 steps/s | 88.22 ms/step | ETA: 49.7 min
Step 16250/50000 | t=1.62e+00 | T=7399.7 | a=1.000039 | H=2.41e-05 | 11.3 steps/s | 88.28 ms/step | ETA: 49.7 min
Step 16300/50000 | t=1.63e+00 | T=7399.7 | a=1.000039 | H=2.41e-05 | 11.3 steps/s | 88.32 ms/step | ETA: 49.6 min
Step 16350/50000 | t=1.64e+00 | T=7399.7 | a=1.000039 | H=2.41e-05 | 11.3 steps/s | 88.38 ms/step | ETA: 49.6 min
Step 16400/50000 | t=1.64e+00 | T=7399.7 | a=1.000039 | H=2.41e-05 | 11.3 steps/s | 88.44 ms/step | ETA: 49.5 min
Step 16450/50000 | t=1.65e+00 | T=7399.7 | a=1.000040 | H=2.41e-05 | 11.3 steps/s | 88.49 ms/step | ETA: 49.5 min
Step 16500/50000 | t=1.65e+00 | T=7399.7 | a=1.000040 | H=2.41e-05 | 11.3 steps/s | 88.54 ms/step | ETA: 49.4 min
Step 16550/50000 | t=1.66e+00 | T=7399.7 | a=1.000040 | H=2.41e-05 | 11.3 steps/s | 88.59 ms/step | ETA: 49.4 min
Step 16600/50000 | t=1.66e+00 | T=7399.7 | a=1.000040 | H=2.41e-05 | 11.3 steps/s | 88.77 ms/step | ETA: 49.4 min
Step 16650/50000 | t=1.67e+00 | T=7399.7 | a=1.000040 | H=2.41e-05 | 11.3 steps/s | 88.82 ms/step | ETA: 49.4 min
Step 16700/50000 | t=1.67e+00 | T=7399.7 | a=1.000040 | H=2.41e-05 | 11.3 steps/s | 88.87 ms/step | ETA: 49.3 min
Step 16750/50000 | t=1.68e+00 | T=7399.7 | a=1.000040 | H=2.41e-05 | 11.2 steps/s | 88.92 ms/step | ETA: 49.3 min
Step 16800/50000 | t=1.68e+00 | T=7399.7 | a=1.000040 | H=2.41e-05 | 11.2 steps/s | 88.99 ms/step | ETA: 49.2 min
Step 16850/50000 | t=1.69e+00 | T=7399.7 | a=1.000041 | H=2.41e-05 | 11.2 steps/s | 89.03 ms/step | ETA: 49.2 min
Step 16900/50000 | t=1.69e+00 | T=7399.7 | a=1.000041 | H=2.41e-05 | 11.2 steps/s | 89.08 ms/step | ETA: 49.1 min
Step 16950/50000 | t=1.70e+00 | T=7399.7 | a=1.000041 | H=2.41e-05 | 11.2 steps/s | 89.12 ms/step | ETA: 49.1 min
Step 17000/50000 | t=1.70e+00 | T=7399.7 | a=1.000041 | H=2.41e-05 | 11.2 steps/s | 89.20 ms/step | ETA: 49.1 min
Step 17050/50000 | t=1.71e+00 | T=7399.7 | a=1.000041 | H=2.41e-05 | 11.2 steps/s | 89.24 ms/step | ETA: 49.0 min
Step 17100/50000 | t=1.71e+00 | T=7399.7 | a=1.000041 | H=2.41e-05 | 11.2 steps/s | 89.41 ms/step | ETA: 49.0 min
Step 17150/50000 | t=1.72e+00 | T=7399.7 | a=1.000041 | H=2.41e-05 | 11.2 steps/s | 89.45 ms/step | ETA: 49.0 min
Step 17200/50000 | t=1.72e+00 | T=7399.7 | a=1.000041 | H=2.41e-05 | 11.2 steps/s | 89.51 ms/step | ETA: 48.9 min
Step 17250/50000 | t=1.73e+00 | T=7399.7 | a=1.000042 | H=2.41e-05 | 11.2 steps/s | 89.57 ms/step | ETA: 48.9 min
Step 17300/50000 | t=1.73e+00 | T=7399.7 | a=1.000042 | H=2.41e-05 | 11.2 steps/s | 89.61 ms/step | ETA: 48.8 min
Step 17350/50000 | t=1.74e+00 | T=7399.7 | a=1.000042 | H=2.41e-05 | 11.2 steps/s | 89.66 ms/step | ETA: 48.8 min
Step 17400/50000 | t=1.74e+00 | T=7399.7 | a=1.000042 | H=2.41e-05 | 11.1 steps/s | 89.70 ms/step | ETA: 48.7 min
Step 17450/50000 | t=1.75e+00 | T=7399.7 | a=1.000042 | H=2.41e-05 | 11.1 steps/s | 89.75 ms/step | ETA: 48.7 min
Step 17500/50000 | t=1.75e+00 | T=7399.7 | a=1.000042 | H=2.41e-05 | 11.1 steps/s | 89.79 ms/step | ETA: 48.6 min
Step 17550/50000 | t=1.75e+00 | T=7399.7 | a=1.000042 | H=2.41e-05 | 11.1 steps/s | 89.84 ms/step | ETA: 48.6 min
Step 17600/50000 | t=1.76e+00 | T=7399.7 | a=1.000042 | H=2.41e-05 | 11.1 steps/s | 90.00 ms/step | ETA: 48.6 min
Step 17650/50000 | t=1.76e+00 | T=7399.7 | a=1.000042 | H=2.41e-05 | 11.1 steps/s | 90.04 ms/step | ETA: 48.5 min
Step 17700/50000 | t=1.77e+00 | T=7399.7 | a=1.000043 | H=2.41e-05 | 11.1 steps/s | 90.08 ms/step | ETA: 48.5 min
Step 17750/50000 | t=1.77e+00 | T=7399.7 | a=1.000043 | H=2.41e-05 | 11.1 steps/s | 90.13 ms/step | ETA: 48.4 min
Step 17800/50000 | t=1.78e+00 | T=7399.7 | a=1.000043 | H=2.41e-05 | 11.1 steps/s | 90.18 ms/step | ETA: 48.4 min
Step 17850/50000 | t=1.78e+00 | T=7399.7 | a=1.000043 | H=2.41e-05 | 11.1 steps/s | 90.22 ms/step | ETA: 48.3 min
Step 17900/50000 | t=1.79e+00 | T=7399.7 | a=1.000043 | H=2.41e-05 | 11.1 steps/s | 90.27 ms/step | ETA: 48.3 min
Step 17950/50000 | t=1.79e+00 | T=7399.7 | a=1.000043 | H=2.41e-05 | 11.1 steps/s | 90.31 ms/step | ETA: 48.2 min
Step 18000/50000 | t=1.80e+00 | T=7399.7 | a=1.000043 | H=2.41e-05 | 11.1 steps/s | 90.35 ms/step | ETA: 48.2 min
Step 18050/50000 | t=1.80e+00 | T=7399.7 | a=1.000043 | H=2.41e-05 | 11.1 steps/s | 90.39 ms/step | ETA: 48.1 min
Step 18100/50000 | t=1.81e+00 | T=7399.7 | a=1.000044 | H=2.41e-05 | 11.0 steps/s | 90.58 ms/step | ETA: 48.2 min
Step 18150/50000 | t=1.81e+00 | T=7399.7 | a=1.000044 | H=2.41e-05 | 11.0 steps/s | 90.61 ms/step | ETA: 48.1 min
Step 18200/50000 | t=1.82e+00 | T=7399.7 | a=1.000044 | H=2.41e-05 | 11.0 steps/s | 90.65 ms/step | ETA: 48.0 min
Step 18250/50000 | t=1.82e+00 | T=7399.7 | a=1.000044 | H=2.41e-05 | 11.0 steps/s | 90.71 ms/step | ETA: 48.0 min
Step 18300/50000 | t=1.83e+00 | T=7399.7 | a=1.000044 | H=2.41e-05 | 11.0 steps/s | 90.74 ms/step | ETA: 47.9 min
Step 18350/50000 | t=1.83e+00 | T=7399.7 | a=1.000044 | H=2.41e-05 | 11.0 steps/s | 90.78 ms/step | ETA: 47.9 min
Step 18400/50000 | t=1.84e+00 | T=7399.7 | a=1.000044 | H=2.41e-05 | 11.0 steps/s | 90.82 ms/step | ETA: 47.8 min
Step 18450/50000 | t=1.84e+00 | T=7399.7 | a=1.000044 | H=2.41e-05 | 11.0 steps/s | 90.86 ms/step | ETA: 47.8 min
Step 18500/50000 | t=1.85e+00 | T=7399.7 | a=1.000045 | H=2.41e-05 | 11.0 steps/s | 90.90 ms/step | ETA: 47.7 min
Step 18550/50000 | t=1.85e+00 | T=7399.7 | a=1.000045 | H=2.41e-05 | 11.0 steps/s | 90.94 ms/step | ETA: 47.7 min
Step 18600/50000 | t=1.86e+00 | T=7399.7 | a=1.000045 | H=2.41e-05 | 11.0 steps/s | 91.09 ms/step | ETA: 47.7 min
Step 18650/50000 | t=1.86e+00 | T=7399.7 | a=1.000045 | H=2.41e-05 | 11.0 steps/s | 91.13 ms/step | ETA: 47.6 min
Step 18700/50000 | t=1.87e+00 | T=7399.7 | a=1.000045 | H=2.41e-05 | 11.0 steps/s | 91.16 ms/step | ETA: 47.6 min
Step 18750/50000 | t=1.88e+00 | T=7399.7 | a=1.000045 | H=2.41e-05 | 11.0 steps/s | 91.20 ms/step | ETA: 47.5 min
