======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-26 12:41:51
Log file: logs/simulation_20260226_124151.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 2.50e-04, dt (rescaled) = 2.5000e-01
  CFL limit: dt_CFL = 0.5774 (rescaled)
  dt/dt_CFL = 4.3301e-01 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7403.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 5000 GeV  →  3H/η = 1.44e-08
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11
Couplings: boson=1.09, fermion=1.09

Finding thermal VEV at T = 7403.0...
  V'(0) = 1.6904e-06
  V'(VEV) = 7.3013e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 1.6904e-06
  V'(1e0)   = 1.6904e+04
  V'(1e5)   = -9.9981e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 2.1249e+03 and 2.2355e+03
  Barrier top at: 2.2074e+03
  Escape point: 2.4281e+03
  V'(escape) = -8.9789e+06 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_7403_dx_0.001_dtphys_0.00025_interval_4000_3D_hubble_eta_5000_gb_1.09_gf_1.09_rk2_fused_table/field_states
Figures will be saved to: data/set6/256x256x256_T0_7403_dx_0.001_dtphys_0.00025_interval_4000_3D_hubble_eta_5000_gb_1.09_gf_1.09_rk2_fused_table/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 10000000000, dt: 2.50e-01
Integrator: rk2_fused_table
Using Vprime lookup table: True (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 4.3020e+03)
Overdamped mode: DISABLED (η = 5000)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 1.44e-08
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Dense snapshots: enabled (threshold=40000.0, interval=100)
Step 0/10000000000 | t=0.00e+00 | T=7403.0 | a=1.000000 | H=2.41e-05 | 4.4 steps/s | 229.03 ms/step | ETA: 38171529.8 min
Step 27300/10000000000 | t=6.83e+00 | T=7401.8 | a=1.000164 | H=2.41e-05 | 12.9 steps/s | 77.62 ms/step | ETA: 12936548.6 min
Step 27400/10000000000 | t=6.85e+00 | T=7401.8 | a=1.000165 | H=2.41e-05 | 12.9 steps/s | 77.64 ms/step | ETA: 12940784.4 min
Step 27500/10000000000 | t=6.88e+00 | T=7401.8 | a=1.000165 | H=2.41e-05 | 12.9 steps/s | 77.68 ms/step | ETA: 12945849.0 min
Step 27600/10000000000 | t=6.90e+00 | T=7401.8 | a=1.000166 | H=2.41e-05 | 12.9 steps/s | 77.71 ms/step | ETA: 12951125.8 min
Step 27700/10000000000 | t=6.92e+00 | T=7401.8 | a=1.000167 | H=2.41e-05 | 12.9 steps/s | 77.82 ms/step | ETA: 12969661.8 min
Step 27800/10000000000 | t=6.95e+00 | T=7401.8 | a=1.000167 | H=2.41e-05 | 12.8 steps/s | 77.84 ms/step | ETA: 12973262.1 min
Step 27900/10000000000 | t=6.97e+00 | T=7401.8 | a=1.000168 | H=2.41e-05 | 12.8 steps/s | 77.87 ms/step | ETA: 12977480.1 min
Step 28000/10000000000 | t=7.00e+00 | T=7401.8 | a=1.000168 | H=2.41e-05 | 12.8 steps/s | 77.89 ms/step | ETA: 12981463.8 min
Step 28100/10000000000 | t=7.03e+00 | T=7401.7 | a=1.000169 | H=2.41e-05 | 12.8 steps/s | 77.91 ms/step | ETA: 12984858.5 min
Step 28200/10000000000 | t=7.05e+00 | T=7401.7 | a=1.000170 | H=2.41e-05 | 12.8 steps/s | 77.93 ms/step | ETA: 12988542.0 min
Step 28300/10000000000 | t=7.08e+00 | T=7401.7 | a=1.000170 | H=2.41e-05 | 12.8 steps/s | 77.95 ms/step | ETA: 12992045.6 min
Step 28400/10000000000 | t=7.10e+00 | T=7401.7 | a=1.000171 | H=2.41e-05 | 12.8 steps/s | 77.98 ms/step | ETA: 12996141.6 min
Step 28500/10000000000 | t=7.12e+00 | T=7401.7 | a=1.000171 | H=2.41e-05 | 12.8 steps/s | 77.99 ms/step | ETA: 12998759.6 min
Step 28600/10000000000 | t=7.15e+00 | T=7401.7 | a=1.000172 | H=2.41e-05 | 12.8 steps/s | 78.02 ms/step | ETA: 13002672.4 min
Step 28700/10000000000 | t=7.17e+00 | T=7401.7 | a=1.000173 | H=2.41e-05 | 12.8 steps/s | 78.12 ms/step | ETA: 13019774.8 min
Step 28800/10000000000 | t=7.20e+00 | T=7401.7 | a=1.000173 | H=2.41e-05 | 12.8 steps/s | 78.14 ms/step | ETA: 13022903.2 min
Step 28900/10000000000 | t=7.22e+00 | T=7401.7 | a=1.000174 | H=2.41e-05 | 12.8 steps/s | 78.16 ms/step | ETA: 13026517.7 min
Step 29000/10000000000 | t=7.25e+00 | T=7401.7 | a=1.000174 | H=2.41e-05 | 12.8 steps/s | 78.18 ms/step | ETA: 13029267.5 min
Step 29100/10000000000 | t=7.28e+00 | T=7401.7 | a=1.000175 | H=2.41e-05 | 12.8 steps/s | 78.20 ms/step | ETA: 13032654.2 min
Step 29200/10000000000 | t=7.30e+00 | T=7401.7 | a=1.000176 | H=2.41e-05 | 12.8 steps/s | 78.21 ms/step | ETA: 13035493.9 min
Step 29300/10000000000 | t=7.33e+00 | T=7401.7 | a=1.000176 | H=2.41e-05 | 12.8 steps/s | 78.22 ms/step | ETA: 13037366.2 min
Step 29400/10000000000 | t=7.35e+00 | T=7401.7 | a=1.000177 | H=2.41e-05 | 12.8 steps/s | 78.23 ms/step | ETA: 13038656.0 min
Step 29500/10000000000 | t=7.38e+00 | T=7401.7 | a=1.000177 | H=2.41e-05 | 12.8 steps/s | 78.28 ms/step | ETA: 13047240.0 min
Step 29600/10000000000 | t=7.40e+00 | T=7401.7 | a=1.000178 | H=2.41e-05 | 12.8 steps/s | 78.37 ms/step | ETA: 13061109.0 min
Step 29700/10000000000 | t=7.42e+00 | T=7401.7 | a=1.000179 | H=2.41e-05 | 12.7 steps/s | 78.53 ms/step | ETA: 13089113.6 min
Step 29800/10000000000 | t=7.45e+00 | T=7401.7 | a=1.000179 | H=2.41e-05 | 12.7 steps/s | 78.68 ms/step | ETA: 13113354.9 min
Step 29900/10000000000 | t=7.47e+00 | T=7401.7 | a=1.000180 | H=2.41e-05 | 12.7 steps/s | 78.73 ms/step | ETA: 13120908.7 min
Step 30000/10000000000 | t=7.50e+00 | T=7401.7 | a=1.000180 | H=2.41e-05 | 12.7 steps/s | 78.75 ms/step | ETA: 13125407.9 min
Step 30100/10000000000 | t=7.53e+00 | T=7401.7 | a=1.000181 | H=2.41e-05 | 12.7 steps/s | 78.79 ms/step | ETA: 13131045.6 min
Step 30200/10000000000 | t=7.55e+00 | T=7401.7 | a=1.000182 | H=2.41e-05 | 12.7 steps/s | 78.86 ms/step | ETA: 13143984.8 min
Step 30300/10000000000 | t=7.58e+00 | T=7401.7 | a=1.000182 | H=2.41e-05 | 12.7 steps/s | 78.90 ms/step | ETA: 13150419.6 min
Step 30400/10000000000 | t=7.60e+00 | T=7401.6 | a=1.000183 | H=2.41e-05 | 12.7 steps/s | 78.98 ms/step | ETA: 13162840.7 min
Step 30500/10000000000 | t=7.62e+00 | T=7401.6 | a=1.000183 | H=2.41e-05 | 12.7 steps/s | 79.02 ms/step | ETA: 13169317.0 min
Step 30600/10000000000 | t=7.65e+00 | T=7401.6 | a=1.000184 | H=2.41e-05 | 12.6 steps/s | 79.06 ms/step | ETA: 13175810.1 min
Step 30700/10000000000 | t=7.67e+00 | T=7401.6 | a=1.000185 | H=2.41e-05 | 12.6 steps/s | 79.14 ms/step | ETA: 13190558.7 min
Step 30800/10000000000 | t=7.70e+00 | T=7401.6 | a=1.000185 | H=2.41e-05 | 12.6 steps/s | 79.16 ms/step | ETA: 13193150.8 min
Step 30900/10000000000 | t=7.72e+00 | T=7401.6 | a=1.000186 | H=2.41e-05 | 12.6 steps/s | 79.20 ms/step | ETA: 13199417.1 min
Step 31000/10000000000 | t=7.75e+00 | T=7401.6 | a=1.000186 | H=2.41e-05 | 12.6 steps/s | 79.23 ms/step | ETA: 13204828.9 min
Step 31100/10000000000 | t=7.78e+00 | T=7401.6 | a=1.000187 | H=2.41e-05 | 12.6 steps/s | 79.24 ms/step | ETA: 13206862.1 min
Step 31200/10000000000 | t=7.80e+00 | T=7401.6 | a=1.000188 | H=2.41e-05 | 12.6 steps/s | 79.26 ms/step | ETA: 13209470.1 min
Step 31300/10000000000 | t=7.83e+00 | T=7401.6 | a=1.000188 | H=2.41e-05 | 12.6 steps/s | 79.28 ms/step | ETA: 13212554.8 min
Step 31400/10000000000 | t=7.85e+00 | T=7401.6 | a=1.000189 | H=2.41e-05 | 12.6 steps/s | 79.29 ms/step | ETA: 13215404.3 min
Step 31500/10000000000 | t=7.88e+00 | T=7401.6 | a=1.000189 | H=2.41e-05 | 12.6 steps/s | 79.32 ms/step | ETA: 13220392.9 min
Step 31600/10000000000 | t=7.90e+00 | T=7401.6 | a=1.000190 | H=2.41e-05 | 12.6 steps/s | 79.36 ms/step | ETA: 13226263.7 min
Step 31700/10000000000 | t=7.92e+00 | T=7401.6 | a=1.000191 | H=2.41e-05 | 12.6 steps/s | 79.44 ms/step | ETA: 13240314.0 min
Step 31800/10000000000 | t=7.95e+00 | T=7401.6 | a=1.000191 | H=2.41e-05 | 12.6 steps/s | 79.46 ms/step | ETA: 13243059.4 min
Step 31900/10000000000 | t=7.97e+00 | T=7401.6 | a=1.000192 | H=2.41e-05 | 12.6 steps/s | 79.47 ms/step | ETA: 13245428.5 min
Step 32000/10000000000 | t=8.00e+00 | T=7401.6 | a=1.000192 | H=2.41e-05 | 12.6 steps/s | 79.48 ms/step | ETA: 13247373.5 min
Step 32100/10000000000 | t=8.03e+00 | T=7401.6 | a=1.000193 | H=2.41e-05 | 12.6 steps/s | 79.49 ms/step | ETA: 13249006.4 min
Step 32200/10000000000 | t=8.05e+00 | T=7401.6 | a=1.000194 | H=2.41e-05 | 12.6 steps/s | 79.51 ms/step | ETA: 13252247.5 min
Step 32300/10000000000 | t=8.07e+00 | T=7401.6 | a=1.000194 | H=2.41e-05 | 12.6 steps/s | 79.53 ms/step | ETA: 13255073.8 min
Step 32400/10000000000 | t=8.10e+00 | T=7401.6 | a=1.000195 | H=2.41e-05 | 12.6 steps/s | 79.54 ms/step | ETA: 13255967.6 min
Step 32500/10000000000 | t=8.12e+00 | T=7401.6 | a=1.000195 | H=2.41e-05 | 12.6 steps/s | 79.54 ms/step | ETA: 13257065.9 min
Step 32600/10000000000 | t=8.15e+00 | T=7401.5 | a=1.000196 | H=2.41e-05 | 12.6 steps/s | 79.55 ms/step | ETA: 13258307.9 min
Step 32700/10000000000 | t=8.18e+00 | T=7401.5 | a=1.000197 | H=2.41e-05 | 12.6 steps/s | 79.62 ms/step | ETA: 13270638.2 min
Step 32800/10000000000 | t=8.20e+00 | T=7401.5 | a=1.000197 | H=2.41e-05 | 12.6 steps/s | 79.64 ms/step | ETA: 13273549.9 min
Step 32900/10000000000 | t=8.22e+00 | T=7401.5 | a=1.000198 | H=2.41e-05 | 12.6 steps/s | 79.65 ms/step | ETA: 13274743.4 min
Step 33000/10000000000 | t=8.25e+00 | T=7401.5 | a=1.000198 | H=2.41e-05 | 12.6 steps/s | 79.66 ms/step | ETA: 13275931.7 min
Step 33100/10000000000 | t=8.28e+00 | T=7401.5 | a=1.000199 | H=2.41e-05 | 12.6 steps/s | 79.66 ms/step | ETA: 13276930.4 min
Step 33200/10000000000 | t=8.30e+00 | T=7401.5 | a=1.000200 | H=2.41e-05 | 12.6 steps/s | 79.67 ms/step | ETA: 13278638.5 min
Step 33300/10000000000 | t=8.32e+00 | T=7401.5 | a=1.000200 | H=2.41e-05 | 12.5 steps/s | 79.69 ms/step | ETA: 13280858.4 min
Step 33400/10000000000 | t=8.35e+00 | T=7401.5 | a=1.000201 | H=2.41e-05 | 12.5 steps/s | 79.69 ms/step | ETA: 13281487.0 min
Step 33500/10000000000 | t=8.38e+00 | T=7401.5 | a=1.000201 | H=2.41e-05 | 12.5 steps/s | 79.70 ms/step | ETA: 13282958.4 min
Step 33600/10000000000 | t=8.40e+00 | T=7401.5 | a=1.000202 | H=2.41e-05 | 12.5 steps/s | 79.70 ms/step | ETA: 13283611.9 min
Step 33700/10000000000 | t=8.43e+00 | T=7401.5 | a=1.000203 | H=2.41e-05 | 12.5 steps/s | 79.78 ms/step | ETA: 13297074.8 min
Step 33800/10000000000 | t=8.45e+00 | T=7401.5 | a=1.000203 | H=2.41e-05 | 12.5 steps/s | 79.80 ms/step | ETA: 13299770.7 min
Step 33900/10000000000 | t=8.47e+00 | T=7401.5 | a=1.000204 | H=2.41e-05 | 12.5 steps/s | 79.81 ms/step | ETA: 13301951.5 min
Step 34000/10000000000 | t=8.50e+00 | T=7401.5 | a=1.000205 | H=2.41e-05 | 12.5 steps/s | 79.82 ms/step | ETA: 13303755.1 min
Step 34100/10000000000 | t=8.53e+00 | T=7401.5 | a=1.000205 | H=2.41e-05 | 12.5 steps/s | 79.84 ms/step | ETA: 13306196.7 min
Step 34200/10000000000 | t=8.55e+00 | T=7401.5 | a=1.000206 | H=2.41e-05 | 12.5 steps/s | 79.84 ms/step | ETA: 13307268.5 min
Step 34300/10000000000 | t=8.57e+00 | T=7401.5 | a=1.000206 | H=2.41e-05 | 12.5 steps/s | 79.85 ms/step | ETA: 13307991.4 min
Step 34400/10000000000 | t=8.60e+00 | T=7401.5 | a=1.000207 | H=2.41e-05 | 12.5 steps/s | 79.86 ms/step | ETA: 13309446.5 min
Step 34500/10000000000 | t=8.62e+00 | T=7401.5 | a=1.000208 | H=2.41e-05 | 12.5 steps/s | 79.86 ms/step | ETA: 13310386.7 min
Step 34600/10000000000 | t=8.65e+00 | T=7401.5 | a=1.000208 | H=2.41e-05 | 12.5 steps/s | 79.86 ms/step | ETA: 13310768.1 min
Step 34700/10000000000 | t=8.68e+00 | T=7401.5 | a=1.000209 | H=2.41e-05 | 12.5 steps/s | 79.95 ms/step | ETA: 13324528.1 min
Step 34800/10000000000 | t=8.70e+00 | T=7401.5 | a=1.000209 | H=2.41e-05 | 12.5 steps/s | 79.95 ms/step | ETA: 13325748.8 min
Step 34900/10000000000 | t=8.72e+00 | T=7401.4 | a=1.000210 | H=2.41e-05 | 12.5 steps/s | 79.96 ms/step | ETA: 13326602.6 min
Step 35000/10000000000 | t=8.75e+00 | T=7401.4 | a=1.000211 | H=2.41e-05 | 12.5 steps/s | 79.96 ms/step | ETA: 13326995.7 min
Step 35100/10000000000 | t=8.78e+00 | T=7401.4 | a=1.000211 | H=2.41e-05 | 12.5 steps/s | 79.97 ms/step | ETA: 13327968.4 min
Step 35200/10000000000 | t=8.80e+00 | T=7401.4 | a=1.000212 | H=2.41e-05 | 12.5 steps/s | 79.97 ms/step | ETA: 13328806.4 min
Step 35300/10000000000 | t=8.82e+00 | T=7401.4 | a=1.000212 | H=2.41e-05 | 12.5 steps/s | 79.99 ms/step | ETA: 13331029.0 min
Step 35400/10000000000 | t=8.85e+00 | T=7401.4 | a=1.000213 | H=2.41e-05 | 12.5 steps/s | 79.99 ms/step | ETA: 13331984.3 min
Step 35500/10000000000 | t=8.88e+00 | T=7401.4 | a=1.000214 | H=2.41e-05 | 12.5 steps/s | 80.00 ms/step | ETA: 13333648.0 min
Step 35600/10000000000 | t=8.90e+00 | T=7401.4 | a=1.000214 | H=2.41e-05 | 12.5 steps/s | 80.00 ms/step | ETA: 13333997.4 min
Step 35700/10000000000 | t=8.93e+00 | T=7401.4 | a=1.000215 | H=2.41e-05 | 12.5 steps/s | 80.08 ms/step | ETA: 13345930.0 min
Step 35800/10000000000 | t=8.95e+00 | T=7401.4 | a=1.000215 | H=2.41e-05 | 12.5 steps/s | 80.08 ms/step | ETA: 13347024.0 min
Step 35900/10000000000 | t=8.97e+00 | T=7401.4 | a=1.000216 | H=2.41e-05 | 12.5 steps/s | 80.09 ms/step | ETA: 13348961.9 min
Step 36000/10000000000 | t=9.00e+00 | T=7401.4 | a=1.000217 | H=2.41e-05 | 12.5 steps/s | 80.10 ms/step | ETA: 13349140.7 min
Step 36100/10000000000 | t=9.03e+00 | T=7401.4 | a=1.000217 | H=2.41e-05 | 12.5 steps/s | 80.10 ms/step | ETA: 13350267.1 min
Step 36200/10000000000 | t=9.05e+00 | T=7401.4 | a=1.000218 | H=2.41e-05 | 12.5 steps/s | 80.11 ms/step | ETA: 13350823.9 min
Step 36300/10000000000 | t=9.07e+00 | T=7401.4 | a=1.000218 | H=2.41e-05 | 12.5 steps/s | 80.12 ms/step | ETA: 13352953.2 min
Step 36400/10000000000 | t=9.10e+00 | T=7401.4 | a=1.000219 | H=2.41e-05 | 12.5 steps/s | 80.12 ms/step | ETA: 13353287.6 min
Step 36500/10000000000 | t=9.12e+00 | T=7401.4 | a=1.000220 | H=2.41e-05 | 12.5 steps/s | 80.13 ms/step | ETA: 13355068.3 min
Step 36600/10000000000 | t=9.15e+00 | T=7401.4 | a=1.000220 | H=2.41e-05 | 12.5 steps/s | 80.13 ms/step | ETA: 13355778.8 min
Step 36700/10000000000 | t=9.18e+00 | T=7401.4 | a=1.000221 | H=2.41e-05 | 12.5 steps/s | 80.20 ms/step | ETA: 13366102.8 min
Step 36800/10000000000 | t=9.20e+00 | T=7401.4 | a=1.000221 | H=2.41e-05 | 12.5 steps/s | 80.20 ms/step | ETA: 13367320.9 min
Step 36900/10000000000 | t=9.22e+00 | T=7401.4 | a=1.000222 | H=2.41e-05 | 12.5 steps/s | 80.21 ms/step | ETA: 13368379.9 min
Step 37000/10000000000 | t=9.25e+00 | T=7401.4 | a=1.000223 | H=2.41e-05 | 12.5 steps/s | 80.23 ms/step | ETA: 13372223.6 min
Step 37100/10000000000 | t=9.28e+00 | T=7401.3 | a=1.000223 | H=2.41e-05 | 12.5 steps/s | 80.25 ms/step | ETA: 13375415.8 min
Step 37200/10000000000 | t=9.30e+00 | T=7401.3 | a=1.000224 | H=2.41e-05 | 12.5 steps/s | 80.27 ms/step | ETA: 13377579.0 min
Step 37300/10000000000 | t=9.32e+00 | T=7401.3 | a=1.000224 | H=2.41e-05 | 12.5 steps/s | 80.27 ms/step | ETA: 13377977.2 min
Step 37400/10000000000 | t=9.35e+00 | T=7401.3 | a=1.000225 | H=2.41e-05 | 12.5 steps/s | 80.27 ms/step | ETA: 13378372.6 min
Step 37500/10000000000 | t=9.38e+00 | T=7401.3 | a=1.000226 | H=2.41e-05 | 12.5 steps/s | 80.29 ms/step | ETA: 13381173.9 min
Step 37600/10000000000 | t=9.40e+00 | T=7401.3 | a=1.000226 | H=2.41e-05 | 12.5 steps/s | 80.29 ms/step | ETA: 13381989.5 min
Step 37700/10000000000 | t=9.43e+00 | T=7401.3 | a=1.000227 | H=2.41e-05 | 12.4 steps/s | 80.35 ms/step | ETA: 13391897.4 min
Step 37800/10000000000 | t=9.45e+00 | T=7401.3 | a=1.000227 | H=2.41e-05 | 12.4 steps/s | 80.35 ms/step | ETA: 13392228.5 min
Step 37900/10000000000 | t=9.47e+00 | T=7401.3 | a=1.000228 | H=2.41e-05 | 12.4 steps/s | 80.36 ms/step | ETA: 13393034.7 min
Step 38000/10000000000 | t=9.50e+00 | T=7401.3 | a=1.000229 | H=2.41e-05 | 12.4 steps/s | 80.37 ms/step | ETA: 13395698.4 min
Step 38100/10000000000 | t=9.53e+00 | T=7401.3 | a=1.000229 | H=2.41e-05 | 12.4 steps/s | 80.38 ms/step | ETA: 13395923.7 min
Step 38200/10000000000 | t=9.55e+00 | T=7401.3 | a=1.000230 | H=2.41e-05 | 12.4 steps/s | 80.38 ms/step | ETA: 13396769.1 min
Step 38300/10000000000 | t=9.57e+00 | T=7401.3 | a=1.000230 | H=2.41e-05 | 12.4 steps/s | 80.38 ms/step | ETA: 13397185.6 min
Step 38400/10000000000 | t=9.60e+00 | T=7401.3 | a=1.000231 | H=2.41e-05 | 12.4 steps/s | 80.39 ms/step | ETA: 13398794.6 min
Step 38500/10000000000 | t=9.62e+00 | T=7401.3 | a=1.000232 | H=2.41e-05 | 12.4 steps/s | 80.40 ms/step | ETA: 13399375.2 min
Step 38600/10000000000 | t=9.65e+00 | T=7401.3 | a=1.000232 | H=2.41e-05 | 12.4 steps/s | 80.40 ms/step | ETA: 13400013.4 min
Step 38700/10000000000 | t=9.68e+00 | T=7401.3 | a=1.000233 | H=2.41e-05 | 12.4 steps/s | 80.46 ms/step | ETA: 13410575.1 min
Step 38800/10000000000 | t=9.70e+00 | T=7401.3 | a=1.000233 | H=2.41e-05 | 12.4 steps/s | 80.47 ms/step | ETA: 13412164.3 min
Step 38900/10000000000 | t=9.72e+00 | T=7401.3 | a=1.000234 | H=2.41e-05 | 12.4 steps/s | 80.48 ms/step | ETA: 13413074.6 min
Step 39000/10000000000 | t=9.75e+00 | T=7401.3 | a=1.000235 | H=2.41e-05 | 12.4 steps/s | 80.48 ms/step | ETA: 13413372.0 min
Step 39100/10000000000 | t=9.78e+00 | T=7401.3 | a=1.000235 | H=2.41e-05 | 12.4 steps/s | 80.48 ms/step | ETA: 13413713.3 min
Step 39200/10000000000 | t=9.80e+00 | T=7401.3 | a=1.000236 | H=2.41e-05 | 12.4 steps/s | 80.49 ms/step | ETA: 13414581.9 min
Step 39300/10000000000 | t=9.82e+00 | T=7401.3 | a=1.000236 | H=2.41e-05 | 12.4 steps/s | 80.49 ms/step | ETA: 13415462.8 min
